RID ethnicity income
  54241 CA >75000
  54371 CA 50000-75000
  54451 AA 25000-50000
  54471 AA 50000-75000
  54501 CA 25000-50000
  54521 AA >75000
  54531 CA >75000
  54551 CA >75000
  54611 CA >75000
  54621 CA NA
  54651 AA 25000-50000
  54661 CA 25000-50000
  54711 AA <25000
  54721 AA 25000-50000
  54731 CA 50000-75000
  54751 AA >75000
  54791 CA >75000
  54801 CA NA
  54921 CA <25000
  54951 AA 25000-50000
  55001 AA >75000
  55041 AA 25000-50000
  55061 CA >75000
  55141 AA <25000
  55171 CA >75000
  55191 CA 50000-75000
  55201 AA 50000-75000
  55321 CA 50000-75000
  55371 AA >75000
  55391 AA <25000
  55421 AA 50000-75000
  55511 CA >75000
  55611 AA 25000-50000
  55691 CA >75000
  55711 AA <25000
  55741 AA <25000
  55861 AA >75000
  55901 AA 50000-75000
  55921 CA 50000-75000
  55941 AA <25000
  56021 CA >75000
  56041 AA <25000
  56081 AA >75000
  56101 AA >75000
  56111 AA NA
  56141 CA >75000
  56261 AA 50000-75000
  56271 CA 50000-75000
  56311 CA >75000
  56331 CA 50000-75000
  56351 AA 25000-50000
  56461 CA 50000-75000
  56481 AA <25000
  56541 AA <25000
  56551 CA >75000
  56601 CA 50000-75000
  56611 CA NA
  56861 AA 25000-50000
  56921 AA 50000-75000
  56931 CA 25000-50000
  57131 CA NA
  57171 AA <25000
  57181 AA 50000-75000
  57211 AA 50000-75000
  57321 CA >75000
  57361 AA <25000
  57371 AA <25000
  57441 AA <25000
  57461 AA >75000
  57541 AA <25000
  57631 AA 50000-75000
  57661 CA >75000
  57741 CA >75000
  57811 AA <25000
  57921 CA >75000
  57941 AA <25000
  57991 AA 50000-75000
  58031 AA >75000
  58061 AA 25000-50000
  58081 AA 25000-50000
  58161 AA 50000-75000
  58181 AA 50000-75000
  58291 AA 50000-75000
  58301 AA >75000
  58311 AA >75000
  58361 AA >75000
  58381 CA 50000-75000
  58421 AA 50000-75000
  58531 AA 50000-75000
  58601 AA <25000
  58651 AA <25000
  58731 CA >75000
  58751 AA NA
  58791 AA <25000
  58851 AA 25000-50000
  58861 CA >75000
  58871 CA NA
  58901 AA <25000
  58931 AA 50000-75000
  59091 AA 50000-75000
  59101 CA >75000
  59121 AA NA
  59151 CA 25000-50000
  59191 CA >75000
  59201 AA 50000-75000
  59221 AA <25000
  59281 AA <25000
  59321 AA 50000-75000
  59341 CA >75000
  59381 AA 50000-75000
  59391 AA 25000-50000
  59481 AA >75000
  59511 AA <25000
  59571 AA <25000
  59591 CA 50000-75000
  59601 CA >75000
  59621 AA 25000-50000
  59631 CA >75000
  59721 AA 50000-75000
  59831 CA >75000
  59881 AA 25000-50000
  59891 AA >75000
  59961 AA 50000-75000
  60031 CA NA
